"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 08 18:38:31 GMT 2023","Wed Nov 08 18:38:42 GMT 2023","10524","","Login","","","","Login inválido {""usuario"":""admin"",""senha"":""user"",""mensagem"":""Usuário e/ou senha incorretos!""} @LoginInvalido",""
"passed","Wed Nov 08 18:38:31 GMT 2023","Wed Nov 08 18:38:35 GMT 2023","3769","","Login","","","","Login inválido {""usuario"":""admin"",""senha"":"""",""mensagem"":""Informe a senha!""} @LoginInvalido",""
"passed","Wed Nov 08 18:38:31 GMT 2023","Wed Nov 08 18:38:46 GMT 2023","15138","","Login","","","","Login válido {""usuario"":""admin"",""senha"":""admin"",""logado"":""Administrador""} @LoginValido",""
"passed","Wed Nov 08 18:38:31 GMT 2023","Wed Nov 08 18:38:45 GMT 2023","13722","","Login","","","","Login inválido {""usuario"":"""",""senha"":"""",""mensagem"":""Informe usuário e senha!""} @LoginInvalido",""
"passed","Wed Nov 08 18:38:31 GMT 2023","Wed Nov 08 18:38:38 GMT 2023","7107","","Login","","","","Login inválido {""usuario"":"""",""senha"":""user"",""mensagem"":""Informe o usuário!""} @LoginInvalido",""
"passed","Wed Nov 08 18:38:31 GMT 2023","Wed Nov 08 18:38:48 GMT 2023","16503","","Login","","","","Login válido {""usuario"":""user"",""senha"":""user"",""logado"":""Usuário""} @LoginValido",""
"failed","Wed Nov 08 18:38:31 GMT 2023","Wed Nov 08 18:38:49 GMT 2023","17918","","Login","","","","Login failed @LoginFailed",""
