"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 08 18:35:50 GMT 2023","Wed Nov 08 18:36:04 GMT 2023","14085","","Login","","","","Login inválido {""usuario"":"""",""senha"":"""",""mensagem"":""Informe usuário e senha!""} @LoginInvalido",""
"passed","Wed Nov 08 18:35:50 GMT 2023","Wed Nov 08 18:36:00 GMT 2023","10768","","Login","","","","Login inválido {""usuario"":""admin"",""senha"":""user"",""mensagem"":""Usuário e/ou senha incorretos!""} @LoginInvalido",""
"passed","Wed Nov 08 18:35:50 GMT 2023","Wed Nov 08 18:36:05 GMT 2023","15565","","Login","","","","Login válido {""usuario"":""admin"",""senha"":""admin"",""logado"":""Administrador""} @LoginValido",""
"failed","Wed Nov 08 18:35:50 GMT 2023","Wed Nov 08 18:36:08 GMT 2023","18622","","Login","","","","Login failed @LoginFailed",""
"passed","Wed Nov 08 18:35:50 GMT 2023","Wed Nov 08 18:35:57 GMT 2023","7302","","Login","","","","Login inválido {""usuario"":"""",""senha"":""user"",""mensagem"":""Informe o usuário!""} @LoginInvalido",""
"passed","Wed Nov 08 18:35:50 GMT 2023","Wed Nov 08 18:36:07 GMT 2023","17065","","Login","","","","Login válido {""usuario"":""user"",""senha"":""user"",""logado"":""Usuário""} @LoginValido",""
"passed","Wed Nov 08 18:35:50 GMT 2023","Wed Nov 08 18:35:53 GMT 2023","3922","","Login","","","","Login inválido {""usuario"":""admin"",""senha"":"""",""mensagem"":""Informe a senha!""} @LoginInvalido",""
