"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 08 19:33:14 GMT 2023","Wed Nov 08 19:33:21 GMT 2023","6671","","Login","","","","Login inválido {""usuario"":"""",""senha"":""user"",""mensagem"":""Informe o usuário!""} @LoginInvalido",""
"passed","Wed Nov 08 19:33:14 GMT 2023","Wed Nov 08 19:33:18 GMT 2023","3505","","Login","","","","Login inválido {""usuario"":""admin"",""senha"":"""",""mensagem"":""Informe a senha!""} @LoginInvalido",""
"passed","Wed Nov 08 19:33:14 GMT 2023","Wed Nov 08 19:33:24 GMT 2023","9871","","Login","","","","Login inválido {""usuario"":""admin"",""senha"":""user"",""mensagem"":""Usuário e/ou senha incorretos!""} @LoginInvalido",""
"failed","Wed Nov 08 19:33:14 GMT 2023","Wed Nov 08 19:33:31 GMT 2023","16736","","Login","","","","Login failed @LoginFailed",""
"passed","Wed Nov 08 19:33:14 GMT 2023","Wed Nov 08 19:33:27 GMT 2023","12970","","Login","","","","Login inválido {""usuario"":"""",""senha"":"""",""mensagem"":""Informe usuário e senha!""} @LoginInvalido",""
"passed","Wed Nov 08 19:33:14 GMT 2023","Wed Nov 08 19:33:30 GMT 2023","15453","","Login","","","","Login válido {""usuario"":""user"",""senha"":""user"",""logado"":""Usuário""} @LoginValido",""
"passed","Wed Nov 08 19:33:14 GMT 2023","Wed Nov 08 19:33:29 GMT 2023","14237","","Login","","","","Login válido {""usuario"":""admin"",""senha"":""admin"",""logado"":""Administrador""} @LoginValido",""
