"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 12 02:57:45 GMT 2023","Sun Nov 12 02:57:58 GMT 2023","13421","","Login","","","","Login inválido {""usuario"":"""",""senha"":"""",""mensagem"":""Informe usuário e senha!""} @LoginInvalido",""
"passed","Sun Nov 12 02:57:45 GMT 2023","Sun Nov 12 02:58:00 GMT 2023","14720","","Login","","","","Login válido {""usuario"":""admin"",""senha"":""admin"",""logado"":""Administrador""} @LoginValido",""
"passed","Sun Nov 12 02:57:45 GMT 2023","Sun Nov 12 02:57:52 GMT 2023","7137","","Login","","","","Login inválido {""usuario"":"""",""senha"":""user"",""mensagem"":""Informe o usuário!""} @LoginInvalido",""
"passed","Sun Nov 12 02:57:45 GMT 2023","Sun Nov 12 02:57:55 GMT 2023","10338","","Login","","","","Login inválido {""usuario"":""admin"",""senha"":""user"",""mensagem"":""Usuário e/ou senha incorretos!""} @LoginInvalido",""
"failed","Sun Nov 12 02:57:45 GMT 2023","Sun Nov 12 02:58:02 GMT 2023","17270","","Login","","","","Login failed @LoginFailed",""
"passed","Sun Nov 12 02:57:45 GMT 2023","Sun Nov 12 02:57:49 GMT 2023","3740","","Login","","","","Login inválido {""usuario"":""admin"",""senha"":"""",""mensagem"":""Informe a senha!""} @LoginInvalido",""
"passed","Sun Nov 12 02:57:45 GMT 2023","Sun Nov 12 02:58:01 GMT 2023","16003","","Login","","","","Login válido {""usuario"":""user"",""senha"":""user"",""logado"":""Usuário""} @LoginValido",""
